id,Player,Nation
14e05913,Alfonso Pastor,Spain
14e8e9d7,Nicolas Isimat-Mirin,France
14e8fe86,Ihor Kharatin,Ukraine
150a572c,Andrej Kadlec,Slovakia
150d5992,Florian Baak,Germany
1512328c,Keko,Spain
1519a888,Rajko Brežančić,Serbia
1522dab2,Davide Astori,Italy
15285503,Quentin Beunardeau,France
15317e60,Alper Mutlu,Turkey
15413fa5,Salih Özcan,Turkey
1544f145,Jacob Ramsey,England
1545cf15,Houboulang Mendes,France
1566e437,Kyle Edwards,England
156afd6f,Erik Majetschak,Germany
15781606,Víctor Rodríguez,Spain
157c5e0b,Mustafa Pektemek,Turkey
157d29b6,Diego Farias,Brazil
